frame_id,t_detect_ms,t_embed_ms,t_match_ms,t_vote_ms,t_gesture_ms,t_http_ms,t_total_ms
1,4.7552,6.0981,1.3847,0.0057,0.0000,0.0000,12.7200
2,2.8912,3.7678,0.0616,0.0031,0.0000,0.0000,7.1733
3,2.1541,3.1209,0.0536,0.0033,0.0000,0.0000,5.5408
4,2.1672,2.9372,0.0621,0.0037,0.0000,0.0000,5.3376
5,2.6093,2.7043,0.0509,0.0022,0.0000,0.0000,5.5254
6,2.4670,2.7517,0.0600,0.0035,17.3375,0.0000,22.7899
7,2.4124,3.2837,0.0756,0.0047,11.0441,0.0000,17.0882
8,2.2762,3.1665,0.0655,0.0032,10.8822,0.0000,16.6703
9,2.3637,3.2423,0.0546,0.0033,10.9392,0.0000,16.8568
10,2.8501,3.4298,0.0639,0.0030,11.1431,0.0000,17.7598
11,2.9579,3.4915,0.0710,0.0043,10.9720,0.0000,17.7683
12,2.3761,3.0996,0.0574,0.0032,10.9492,0.0000,16.7299
13,2.3627,3.1612,0.0635,0.0040,10.8525,0.0000,16.6897
14,2.2887,2.9751,0.0498,0.0021,10.8516,0.0000,16.3877
15,2.4353,2.9664,0.0492,0.0028,10.7794,0.0000,16.4123
16,2.1902,2.9928,0.0463,0.0021,10.9242,0.0000,16.4001
17,2.3322,3.0024,0.0490,0.0023,10.8561,0.0000,16.4355
18,2.4289,2.9853,0.0455,0.0028,10.9373,0.0000,16.6053
19,2.5561,3.0398,0.0467,0.0026,10.7469,0.0000,16.5923
20,2.3904,2.9918,0.0601,0.0033,10.8155,0.0000,16.5267
21,2.4445,2.9935,0.0477,0.0025,10.8817,0.0000,16.5779
22,2.3234,2.9460,0.0457,0.0025,10.8472,0.0000,16.3640
23,2.5249,3.1774,0.0473,0.0020,10.8440,0.0000,16.8237
24,2.5052,2.9980,0.0531,0.0027,10.8367,0.0000,16.6690
25,2.4253,3.0790,0.0478,0.0022,10.7967,0.0000,16.6200
26,2.3551,2.9820,0.0449,0.0022,10.7596,0.0000,16.3568
27,2.3760,2.9979,0.0457,0.0023,10.7981,0.0000,16.4874
28,2.4582,2.9556,0.0441,0.0024,10.8097,0.0000,16.4726
29,2.3654,3.0828,0.0461,0.0025,10.9140,0.0000,16.6369
30,2.2995,3.0399,0.0535,0.0026,10.8582,0.0000,16.4943
31,2.4023,3.0714,0.0548,0.0027,10.9690,0.0000,16.7625
32,2.3980,3.1743,0.0548,0.0030,10.7417,0.0000,16.6265
33,2.6315,3.0520,0.0527,0.0032,10.8146,0.0000,16.8026
34,2.6468,3.6349,0.0533,0.0031,10.8903,0.0000,17.4839
35,2.5837,3.6986,0.0573,0.0034,10.9855,0.0000,17.5898
36,2.3680,3.3627,0.0507,0.0027,10.9748,0.0000,17.0090
37,2.2662,3.4860,0.0498,0.0027,10.8747,0.0000,16.9195
38,2.4127,3.4198,0.0487,0.0028,10.9520,0.0000,17.0840
39,2.3310,3.3788,0.0495,0.0026,10.9017,0.0000,16.9072
40,2.2110,3.4453,0.0511,0.0029,10.7638,0.0000,16.7158
41,2.4338,3.3080,0.0472,0.0027,10.8373,0.0000,16.8805
42,2.7193,3.2275,0.0450,0.0024,10.9440,0.0000,17.1575
43,2.9225,3.2335,0.0545,0.0033,11.2725,0.0000,17.8035
44,2.2792,3.1090,0.0598,0.0035,11.0508,0.0000,16.7618
45,2.2705,3.0368,0.0576,0.0030,11.0056,0.0000,16.6567
46,2.6250,3.2348,0.0514,0.0025,11.1379,0.0000,17.3950
47,2.3203,3.0134,0.0497,0.0030,10.8962,0.0000,16.5090
48,2.1400,2.9754,0.0451,0.0022,10.8533,0.0000,16.2645
49,2.6776,3.1027,0.0472,0.0026,10.9340,0.0000,16.9807
50,2.4528,3.0042,0.0488,0.0028,10.8091,0.0000,16.5231
51,2.5941,2.9882,0.0476,0.0026,10.8066,0.0000,16.6622
52,2.6813,2.9087,0.0406,0.0024,10.9450,0.0000,16.7652
53,2.4082,3.0735,0.0462,0.0025,10.9438,0.0000,16.7011
54,2.6318,2.9948,0.0487,0.0028,10.9090,0.0000,16.8365
55,2.5601,2.9786,0.0468,0.0024,11.0398,0.0000,16.9252
56,2.4132,3.0902,0.0480,0.0028,10.9119,0.0000,16.7178
57,2.6824,3.0068,0.0478,0.0026,10.8848,0.0000,16.8617
58,2.2828,3.0174,0.0444,0.0022,10.8417,0.0000,16.3822
59,2.6002,3.0425,0.0419,0.0020,10.8307,0.0000,16.7125
60,2.2973,2.9479,0.0401,0.0019,10.9068,0.0000,16.4615
61,2.3372,3.0380,0.0453,0.0022,10.8052,0.0000,16.4417
