trial,transition,method,latency_ms
1,POWER_SAVE_to_ACTIVE,report_activity,0.008
1,POWER_OFF_to_ACTIVE,wake(),0.0047
2,POWER_SAVE_to_ACTIVE,report_activity,0.0064
2,POWER_OFF_to_ACTIVE,wake(),0.0045
3,POWER_SAVE_to_ACTIVE,report_activity,0.0025
3,POWER_OFF_to_ACTIVE,wake(),0.0022
4,POWER_SAVE_to_ACTIVE,report_activity,0.002
4,POWER_OFF_to_ACTIVE,wake(),0.002
5,POWER_SAVE_to_ACTIVE,report_activity,0.0038
5,POWER_OFF_to_ACTIVE,wake(),0.0058
6,POWER_SAVE_to_ACTIVE,report_activity,0.0049
6,POWER_OFF_to_ACTIVE,wake(),0.0074
7,POWER_SAVE_to_ACTIVE,report_activity,0.005
7,POWER_OFF_to_ACTIVE,wake(),0.0058
8,POWER_SAVE_to_ACTIVE,report_activity,0.0077
8,POWER_OFF_to_ACTIVE,wake(),0.0047
9,POWER_SAVE_to_ACTIVE,report_activity,0.0043
9,POWER_OFF_to_ACTIVE,wake(),0.0077
10,POWER_SAVE_to_ACTIVE,report_activity,0.0052
10,POWER_OFF_to_ACTIVE,wake(),0.0037
