threshold,FAR,FRR,TAR
0.2,0.0,0.0,1.0
0.22,0.0,0.0,1.0
0.24,0.0,0.0,1.0
0.26,0.0,0.0,1.0
0.28,0.0,0.0,1.0
0.3,0.0,0.0,1.0
0.32,0.0,0.01613,0.98387
0.34,0.0,0.01613,0.98387
0.36,0.0,0.01613,0.98387
0.38,0.0,0.01613,0.98387
0.4,0.0,0.01613,0.98387
0.42,0.0,0.01613,0.98387
0.44,0.0,0.01613,0.98387
0.46,0.0,0.01613,0.98387
0.48,0.0,0.03226,0.96774
0.5,0.0,0.03226,0.96774
0.52,0.0,0.04839,0.95161
0.54,0.0,0.06452,0.93548
0.56,0.0,0.06452,0.93548
0.58,0.0,0.08065,0.91935
0.6,0.0,0.09677,0.90323
0.62,0.0,0.12903,0.87097
0.64,0.0,0.12903,0.87097
0.66,0.0,0.12903,0.87097
0.68,0.0,0.12903,0.87097
0.7,0.0,0.14516,0.85484
