frame_id,t_detect_ms,t_embed_ms,t_match_ms,t_vote_ms,t_gesture_ms,t_http_ms,t_total_ms
1,13.1536,0.0000,0.0004,0.0046,0.0000,0.0000,13.1646
2,2.8706,0.0000,0.0002,0.0036,0.0000,0.0000,2.8803
3,2.5115,0.0000,0.0002,0.0020,0.0000,0.0000,2.5153
4,2.0846,0.0000,0.0002,0.0027,0.0000,0.0000,2.0891
5,2.2162,0.0000,0.0002,0.0020,0.0000,0.0000,2.2203
6,2.1978,0.0000,0.0000,0.0009,16.1863,0.0000,18.4381
7,2.2013,0.0000,0.0002,0.0023,10.7981,0.0000,13.0057
8,2.1996,0.0000,0.0001,0.0020,10.8400,0.0000,13.0794
9,2.5348,0.0000,0.0003,0.0034,10.8166,0.0000,13.3588
10,2.2320,0.0000,0.0002,0.0033,11.0253,0.0000,13.2650
11,2.3832,0.0000,0.0002,0.0019,10.7660,0.0000,13.1782
12,2.4148,0.0000,0.0002,0.0021,10.9577,0.0000,13.3778
13,2.3463,0.0000,0.0002,0.0024,10.9155,0.0000,13.3141
14,2.7773,0.0000,0.0003,0.0033,10.9006,0.0000,13.6860
15,2.6423,0.0000,0.0001,0.0027,10.8549,0.0000,13.5032
16,2.4548,0.0000,0.0001,0.0017,10.9650,0.0000,13.4252
17,2.3146,0.0000,0.0002,0.0028,10.9630,0.0000,13.2841
18,2.6251,0.0000,0.0002,0.0035,10.9674,0.0000,13.6000
19,2.4039,0.0000,0.0003,0.0027,10.9432,0.0000,13.3529
20,2.3699,0.0000,0.0003,0.0025,11.1127,0.0000,13.4887
21,2.4235,0.0000,0.0002,0.0038,11.0217,0.0000,13.4538
22,2.5963,0.0000,0.0001,0.0029,10.8146,0.0000,13.4179
23,2.1914,0.0000,0.0001,0.0023,10.8776,0.0000,13.0746
24,2.2759,0.0000,0.0001,0.0020,11.1459,0.0000,13.4274
25,2.5605,0.0000,0.0005,0.0113,10.9790,0.0000,13.5551
26,2.6970,0.0000,0.0002,0.0037,11.0797,0.0000,13.7843
27,2.4575,0.0000,0.0003,0.0030,10.8891,0.0000,13.3534
28,2.2930,0.0000,0.0001,0.0020,10.8829,0.0000,13.1821
29,2.3823,0.0000,0.0002,0.0029,10.9946,0.0000,13.3834
30,2.5351,0.0000,0.0003,0.0028,10.9000,0.0000,13.4411
31,2.4765,0.0000,0.0001,0.0027,10.7852,0.0000,13.3006
32,2.5113,0.0000,0.0003,0.0022,11.0297,0.0000,13.5466
